latitude,longitude,altitude,geometry,FID,OBJECTID,BIN_NUMBER,BBL,BoroughID,BLOCK,LOT,LP_NUMBER,RELATED_LP,CHANGED_LP,LM_NAME,OTHER_NAME,PLUTO_ADDR,DESIG_ADDR,DESIG_DATE,CALEN_DATE,PUBLIC_HEA,LM_TYPE,HIST_DISTR,OTHER_HEAR,BOUNDARIES,NOTES,MOST_CURRE,STATUS,LAST_ACTIO,STATUS_NOT,COUNT_BLDG,NON_BLDG,LP_NUM2,TYPE_2,BORO,URL1,URL2,ADD_2,ARCH,DATE_2,CITATION,STYLE,WebDes_Dte
40.8911480757694,-73.8948095905931,,Point,1,67017,2000000,2059000150,BX,5900,150,LP-00890, , ,Van Cortlandt Mansion, ,        BROADWAY,BROADWAY,175219200000, ,5/27/1975,Interior Landmark,No, ,See designation report,Also: Exterior Designation (LP-0127; 3/15/1966),1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-0890,Interior Landmark,The Bronx,http://s-media.nyc.gov/agencies/lpc/lp/0890.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/0890.jpg,"Van Cortlandt Park, Broadway at West 242nd Street",Unknown,1748 - 1749,1748-49,Georgian,175305600000
40.7124227768534,-74.0082195150667,,Point,2,58015,1087167,1001237501,MN,123,7501,LP-01121,LP-0081; LP-1125; LP-1273, ,Woolworth Building (Interior), ,233 BROADWAY,229 BROADWAY,418953600000, ,1/8/1980; 3/11/1980,Interior Landmark,No, ,See designation report,"Historic lot 22, now BIS Condo Lot 7501; Also: Exterior Designation (LP-1273; 4/12/1983)",1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-1121,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1121.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1121.jpg,233 Broadway,Cass Gilbert,1910 - 1913,"Cass Gilbert, 1910-13",Neo Gothic,419040000000
40.7401069587532,-74.0027687906502,,Point,3,58691,1080379,1007380033,MN,738,33,LP-01635, , ,(Former) New York Bank for Savings, ,81 8 AVENUE,81 8 AVENUE,582854400000, ,9/15/1987; 5/14/1996,Interior Landmark,No, ,See designation report,Also: Exterior Designation (LP-1634; 6/8/1988),1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-1635,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1635.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1635.jpg,81 Eighth Avenue,R. H. Robertson,1896 - 1897,"R. H. Robertson, 1896-97",Classical Revival,582940800000
40.7137728382034,-74.0128897675699,,Point,4,60351,1001228,1000840001,MN,84,1,LP-01746, , ,Barclay-Vesey Building, ,140 WEST STREET,140 WEST STREET,686275200000, ,9/19/1989; 12/12/1989,Interior Landmark,No, ,See designation report,Also: Exterior Designation (LP-1745; 10/1/1991),1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-1746,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1746.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1746.jpg,140 West Street,"McKenzie, Voorhees & Gmelin; Ralph Walker",1923 - 1927,"McKenzie, Voorhees & Gmelin, Ralph Walker, architect in charge, 1923-1927", ,686361600000
40.7845393041055,-73.9794828379532,,Point,5,68694,1000000,1000000000,MN,0,0,LP-01096, , ,IRT Subway System Underground Interior,79th Street Station,     WEST END AVENUE,WEST END AVENUE,309484800000, ,9/11/1979,Interior Landmark,No, ,See designation report,This GIS marker denotes the 79th Street Station,1,DESIGNATED,DESIGNATED, ,0,Subway / Railway,LP-1096,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1096.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1096.jpg,"Wall Street, Fulton Street, City Hall, Bleecker Street, Astor Place, and 33rd Street, Manhattan, and Borough Hall, Brooklyn, on the Lexington Avenue IRT Line; 59th Street-Columbus Circle, 72nd Street, 79th Street, 110th Street, and 116th Street-Columbia",Heins & La Farge,1899 - 1908,"Heins & La Farge, architect, and William B. Parsons, engineer, Contract 1, 1899-1904; Contract 2, 1902-08",Beaux Arts,309571200000
40.7309743014764,-73.9863827431806,,Point,6,60379,1006836,1004670031,MN,467,31,LP-01765,LP-1569; LP-1764,LP-1570,Louis N. Jaffe Art Theater, ,181 2 AVENUE,181 2 AVENUE,729216000000, ,12/12/1989,Interior Landmark,No, ,See designation report,"Previously heard as LP-1570; Also: Exterior Designation (LP-1764; 2/9/1993, previously heard as LP-1569)",1,DESIGNATED,DESIGNATED,PREVIOUSLY HEARD AS LP-1570,0,"Interior, exterior already counted",LP-1765,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1765.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1765.jpg,189 Second Avenue,Harrison G. Wiseman,1925 - 1926,"Harrison G. Wiseman, 1925-26", ,729302400000
40.7591742606109,-73.977673685435,,Point,7,61363,1083860,1012660001,MN,1266,1,LP-01449,LP-0995; LP-1448; LP-1449; LP-2505, ,International Building (Rockefeller Center), ,1260 6 AVENUE,630 5 AVENUE,483062400000, ,9/20/1983,Interior Landmark,No, ,See designation report,Also: Exterior Designation (LP-1446; 4/23/1985),1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-1449,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1449.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1449.jpg,630 Fifth Avenue,Associated Architects,1933 - 1934,"Associated Architects, 1933-34", ,483148800000
40.6904129223161,-73.9823829298114,,Point,8,51559,3000370,3001490075,BK,149,75,LP-01908,LP-0626; LP-1907,LP-1908A,"Dime Savings Bank, first floor interior",Dime Savings Bank of Brooklyn,9 DE KALB AVENUE,"9 DE KALB AVENUE (AKA 9-31 DEKALB AVENUE, 340-366 FLATBUSH AVENUE EXTENSION, AND 47-57 FLEET STREET)",774576000000, ,06/15/1993; 09/21/1993,Interior Landmark,No,5/14/1996,See public hearing record,"Designated 7/19/1994, report later amended as LP-1908A (5/14/1996) (landmark site the same, only report text changed); also Individual Designation (LP-1907, previously heard as LP-0626)",1,DESIGNATED,DESIGNATED,LATER AMENDED AS LP-1908A,0,"Interior, exterior already counted",LP-1908,Interior Landmark,Brooklyn,http://s-media.nyc.gov/agencies/lpc/lp/1908.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1908.jpg,9 DeKalb Avenue,Mowbray & Uffinger,1906 - 1908,"Mowbray & Uffinger, 1906-08; enlarged, Halsey, McCormack & Helmer, 1931-32",Classical Revival,774662400000
40.7133772416865,-74.0055200997237,,Point,9,58956,1079146,1001220001,MN,122,1,LP-01122,LP-0080; LP-1125; LP-1437; LP-1901, ,New York County Courthouse (Tweed Courthouse), ,52 CHAMBERS STREET,52 CHAMBERS STREET,466732800000, ,1/8/1980,Interior Landmark,"Yes, African Burial Ground & The Commons", ,See designation report,Also: African Burial Ground & The Commons Historic District (LP-1901; 2/25/1993); Exterior Designation (LP-1437; 10/16/1984); Previously heard as part of LP-1125,1,DESIGNATED,DESIGNATED,MULTIPLE DESIGNATIONS (SEE NOTES); PREVIOUSLY HEARD AS PART OF LP-1125,0,"Interior, exterior already counted",LP-1122,Interior Landmark,Manhattan,http://s-media.nyc.gov/agencies/lpc/lp/1122.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1122.jpg,52 Chambers Street,John Kellum; Leopold Eidlitz,1861 - 1881,"John Kellum and Leopold Eidlitz, 1861-81",Italianate,466819200000
40.6855257953991,-73.9777194500942,,Point,10,69922,3059183,3021117501,BK,2111,7501,LP-01909, , ,"Williamsburgh Savings Bank (Hanson Place), Interior", ,1 HANSON PLACE,1 HANSON PLACE,835660800000, ,6/15/1993; 9/21/1993,Interior Landmark,"Yes, Brooklyn Academy of Music", ,See designation report,"Historic lot 1, now BIS Condo Lot 7501; Also: Brooklyn Academy of Music Historic District (LP-1003; 9/26/1978); Exterior Designation (LP-0971; 11/15/1977)",1,DESIGNATED,DESIGNATED, ,0,"Interior, exterior already counted",LP-1909,Interior Landmark,Brooklyn,http://s-media.nyc.gov/agencies/lpc/lp/1909.pdf,http://www1.nyc.gov/assets/lpc/images/content/designations/1909.jpg,1 Hanson Place,"Halsey, McCormack & Helmer",1927 - 1929,"Halsey, McCormack & Helmer, 1927-29",Neo Romanesque,835747200000
